"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",6.41702415955054,1.33221443248914,4.81681026947054,1.45871268959165e-06
"`De forma geral, como você avalia o nível de suporte recebido do seu orientador durante a realização de sua dissertação/tese de pós-graduação?`",-0.765387684401619,0.148712485865759,-5.14676141647261,2.65022045756726e-07
"`Você recebeu bolsa de estudos ou auxílio financeiro durante o curso de pós-graduação? Se sim, por quanto tempo? Sim...76`",-1.01471569350457,0.4063525040564,-2.49713163663371,0.0125202469818759
"`Especifique a natureza da jornada de trabalho durante a pós-graduação_Jornada de tempo integral (acima de 30 horas semanais)`",1.40684529059286,0.367599589637819,3.82711333268616,0.000129654828081369
"`Qual a probabilidade de você recomendar esta instituição para futuros estudantes de pós-graduação?`",-0.585157261464341,0.15316098993473,-3.82053721194743,0.000133161311402247
"`Como você classificaria seu nível de desempenho acadêmico ao longo do curso de pós-graduação?`",-0.620415292606652,0.191190895478773,-3.24500437666256,0.00117448818502471
"`Durante o seu curso de pós-graduação, com que frequência você socializou com colegas em momentos de lanches e refeições?`",-0.319364274969383,0.13134113297993,-2.43156327133393,0.0150338223054232
"`Durante o seu curso de pós-graduação, como você classificaria sua intenção de buscar futuras oportunidades educacionais, como doutorado, pós-doutorado ou formações adicionais em sua área?`",-0.289679217017777,0.13395108881972,-2.16257456038783,0.0305739166602537
"`Você trancou sua matrícula no programa de pós-graduação? Se sim, por quanto tempo?_Sim`",1.90061844298786,0.630982235460977,3.01215840347601,0.00259397200183865
"`Você fez uso de algum período de prorrogação de prazo para o término do seu curso de pós-graduação? Se sim, qual foi o período de prorrogação utilizado?_Não prorroguei o período de curso`",0.964570778720574,0.380441201855529,2.53540040883076,0.011231886061712
"`Caso tenha mantido vínculo empregatício (trabalhando ou não), qual categoria melhor descreve seu ambiente de trabalho? Marque todas que se aplicam_Desempregado`",2.57626024783277,1.06292829701185,2.42373851093744,0.0153616621142054
"`area_conhecimento_curso_Linguística, letras e artes`",1.5972154920998,0.660064693328585,2.41978628495539,0.0155296311239367
"`Qual é o nível acadêmico do seu curso de pós-graduação stricto sensu mais recente realizado na UFMT?_Doutorado (Acadêmico)`",-0.938033067873375,0.526403962429129,-1.78196429894782,0.0747550538197107
"`Apresenta alguma deficiência ou transtorno? Marque todos que se aplicam_Transtorno do Espectro Autista`",2.29579777671642,0.914995574251102,2.50908074456585,0.0121045811799723
"`area_conhecimento_curso_Ciências humanas`",-0.886850454656636,0.440514358836328,-2.01321577121654,0.0440919347853747
"`Apresenta alguma deficiência ou transtorno? Marque todos que se aplicam_Deficiência Física`",-16.4517406725943,1115.56126794338,-0.0147475007831029,0.98823362332543
"`Em qual campus da UFMT você cursou seu último programa de pós-graduação stricto sensu?_Rondonópolis`",1.51463062435004,0.758437308831653,1.9970412936084,0.0458206973985959
"`Estado civil ao iniciar o curso de pós-graduação_União Estável`",0.905896979249713,0.538822131142268,1.68125421524404,0.0927135468916499
"`No decorrer do seu programa de pós-graduação, com que frequência você testemunhou ou sofreu alguma forma de assédio, entendido como condutas indesejadas de natureza física, verbal ou psicológica, que visaram ou resultaram em ofensa ou humilhação?`",-0.201088128031413,0.12855585429622,-1.56420825120934,0.117768670107131
